FBgn_ID,CPTI,gene_name,nerve_glia_id,NMJ_id,CB_id,MB_id,OL_id,VNC_id,overview_id
FBgn0000392,CPTI001409,cup,2140248,2137852,2138737,2138909,2138912,2138916,2138711
FBgn0023407,CPTI100035,B4,2140139,2137853,2138476,2138316,2138477,2138479,2138480
FBgn0259735,CPTI001586,CG31738,2140278,2137854,2138256,2138255,2138257,2138258,2138948
FBgn0026721,CPTI001685,fat-spondin,-,2137855,2137811,2137803,2137791,2138350,2138003
FBgn0001098,CPTI001709,Gdh,2140170,2137856,2138361,2138363,2138362,2138364,2138775
FBgn0264975,CPTI001714,Nrg,2140235,2137857,2138037,2138038,2138039,2138035,2138034
FBgn0262743,CPTI001735,Fs(2)Ket,-,2137858,2137767,2137977,2137982,2137987,2138010
FBgn0000097,CPTI000876,aop,2140283,2137859,2138019,2138025,2138021,2138020,2138018
FBgn0011763,CPTI001769,dp,2140292,2137860,2138928,2138758,2138920,2138925,2138606
FBgn0051694,CPTI001771,CG31694,2140281,2137861,2138129,2138259,2138262,2138263,2138260
FBgn0032949,CPTI001775,Lamp,2140203,2137862,2138730,2138856,2138824,2138859,2138942
FBgn0034075,CPTI001828,Asph,2140255,2137863,2139880,2139879,2139882,2139881,2139271
FBgn0023215,CPTI001879,Mnt,2140212,2137864,2138583,2138585,2138584,2138586,2138587
FBgn0024989,CPTI001997,CG3777,2140259,2137865,2138906,2138894,2141755,2138902,2138847
FBgn0002921,CPTI002761,Atpalpha,2140280,2137866,2138180,2138179,2138178,2138177,2138176
FBgn0030521,CPTI002807,CtsB,2140166,2137867,2138938,2138468,2138467,2138469,2138470
FBgn0285926,CPTI004117,Imp,-,2137868,2138832,2138724,2138774,2138385,2138016
FBgn0031268,CPTI001277,cold,2140152,2137870,2138623,2138627,2138352,2138625,2138465
FBgn0000117,CPTI001198,arm,2140299,2137871,2137786,2137788,2138074,2137787,2137785
FBgn0263997,CPTI001056,CG15307,2140271,2137876,2138511,2137994,2138688,2138181,2138686
FBgn0015776,CPTI000925,nrv1,2140239,2137878,2137900,2137902,2137898,2137901,2137897
FBgn0259244,CPTI000033,CG42342,-,2137880,2138280,2138662,2138354,2138661,2138681
FBgn0003676,CPTI000037,T-cp1,2140214,2137881,2138543,2138545,2138757,2138607,2138390
FBgn0015222,CPTI000038,Fer1HCH,2143392,2137882,2138739,2138910,2138914,2138735,2138868
FBgn0041210,CPTI000077,HDAC4,2140150,2137883,2138374,2138875,2138825,2138679,2138672
FBgn0015229,CPTI000155,glec,2140155,2137884,2137952,2137950,2137951,2137948,2137949
FBgn0003261,CPTI004179,Rm62,2140220,2137885,2138372,2138731,2138835,2138947,2138402
FBgn0037707,CPTI004189,RnpS1,2140202,2137886,2138751,2138750,2138749,2138779,2138609
FBgn0036165,CPTI000318,chrb,2140149,2137887,2138601,2138864,2138725,2138937,2138860
FBgn0052685,CPTI004292,Zap3,2140264,2137888,2138745,2138744,2138743,2138746,2138742
FBgn0032298,CPTI000379,CG6724,-,2137892,2138041,2138043,2138044,2138042,2138040
FBgn0004647,CPTI000433,N,2140219,2137893,2138418,2138420,2138419,2138421,2138790
FBgn0053087,CPTI001046,LRP1,-,2137908,2137907,2138815,2137906,2137903,2137904
FBgn0259214,CPTI001995,PMCA,-,2137913,2138889,2138877,2138881,2138885,2138373
FBgn0002772,CPTI002102,Mlc1,-,2137914,2138861,2138857,2138440,2138733,2138544
FBgn0020660,CPTI002187,eIF-4B,-,2137916,2139986,2139883,2139886,2139885,2139269
FBgn0026418,CPTI002201,Hsc70Cb,2140184,2137917,2137813,2137940,2137798,2137777,2138005
FBgn0004227,CPTI003091,nonA,2140231,2137918,2138091,2138400,2137805,2140037,2138007
FBgn0037073,CPTI000765,tsr1,2140244,2137919,2137768,2137761,2137770,2137769,2137771
FBgn0031307,CPTI002305,CG4726,2140275,2137921,2138271,2138659,2137998,2137997,2137999
FBgn0261822,CPTI100062,Bsg,2143384,2137926,2138604,2138622,2138613,2138632,2138640
FBgn0032409,CPTI000286,Ced-12,2140168,2137927,2138481,2138329,2138482,2138483,2138485
FBgn0030870,CPTI003806,CG6398,-,2137935,2138813,2138814,2138812,2138391,2138811
FBgn0260003,CPTI003818,Dys,2140296,2137936,2138029,2138031,2138032,2138030,2138028
FBgn0036213,CPTI003957,RpL10Ab,2140196,2137938,2138831,2138376,2138666,2138778,2138396
FBgn0016059,CPTI003971,Sema-1b,-,2137939,2137827,2137778,2137789,2138014,2138093
FBgn0001250,CPTI004152,if,2140185,2137942,2140670,2140667,2140676,2140673,2139273
FBgn0004872,CPTI003588,piwi,-,2137943,2138525,2138519,2138377,2138508,2138531
FBgn0002645,CPTI003339,Map205,-,2137947,2138245,2138248,2138899,2138246,2138247
FBgn0011206,CPTI004519,bol,-,2137953,2138767,2138765,2138764,2138766,2138763
FBgn0037110,CPTI002636,ORMDL,2140243,2137954,2137775,2137774,2137773,2137801,2137772
FBgn0005671,CPTI002645,Vha55,2140179,2137955,2138343,2138345,2138346,2138344,2138342
FBgn0031883,CPTI002939,Caper,2140273,2137956,2138370,2138863,2138867,2138871,2138846
FBgn0036816,CPTI003049,Indy,-,2137957,2138451,2138450,2138448,2138447,2138446
FBgn0034282,CPTI003020,Mapmodulin,2143396,2137958,2139876,2139875,2139878,2139877,2139272
FBgn0053293,CPTI003173,CG12163,2140277,2137959,2139974,2139976,2139973,2139975,2138241
FBgn0261090,CPTI003250,Sytbeta,-,2137960,2138574,2138576,2138575,2138940,2138904
FBgn0261885,CPTI003089,osa,2140289,2137961,2138123,2137809,2137795,2138017,2138004
FBgn0261722,CPTI000736,CG6151,2140269,2137962,2138655,2138658,2138657,2138656,2137796
FBgn0250823,CPTI002023,Gish,2140175,2137963,2138592,2138594,2138593,2138595,2138596
FBgn0031645,CPTI000774,CG3036,-,2137965,2138738,2138726,2138913,2138734,2138872
FBgn0004177,CPTI003684,mts,2143386,2137970,2138923,2138917,2138723,2138336,2138335
FBgn0022960,CPTI002285,vimar,2140300,2137971,2137966,2137986,2137807,2137779,2138006
FBgn0013733,CPTI001962,shot,2140238,2137972,2137928,2137985,2138637,2138638,2137988
FBgn0045823,CPTI001718,vsg,2140182,2137973,2138785,2138797,2138729,2138804,2138781
FBgn0263594,CPTI002437,growl,2140253,2137974,2138828,2138837,2138834,2138841,2138819
FBgn0001235,CPTI003745,hth,2140201,2137976,2138782,2138366,2138510,2138512,2138513
FBgn0015221,CPTI100064,Fer2LCH,2140258,2137978,2140669,2140666,2140675,2140672,2139268
FBgn0037007,CPTI001180,BNIP3,-,2137981,2138629,2138631,2138634,2138762,2138626
FBgn0023509,CPTI003151,mip130,2140294,2137983,2138722,2138800,2138794,2138807,2138124
FBgn0011828,CPTI003897,Pxn,-,2138009,2138024,2137984,2138027,2138023,2138022
FBgn0023167,CPTI100043,SmD3,2140224,2138060,2138317,2138408,2138327,2138581,2138582
FBgn0027598,CPTI002324,cindr,2140261,2138061,2138810,2138311,2138355,2138340,2138760
FBgn0264607,CPTI000944,CaMKII,2140159,2138070,2138761,2138411,2138410,2138412,2138413
FBgn0261836,CPTI003472,Msp300,2143387,2138072,2138922,2138926,2138777,2138310,2138615
FBgn0015513,CPTI000332,mbc,2140200,2138073,2138783,2138795,2138788,2138801,2138403
FBgn0015773,CPTI002152,NetA,2140298,2138077,2137792,2137794,2138229,2137793,2137790
FBgn0263391,CPTI001589,hts,2140242,2138078,2137824,2138033,2137817,2138012,2138001
FBgn0001624,CPTI000207,dlg1,2143389,2138081,2137804,2137808,2137810,2137806,2138249
FBgn0004839,CPTI000252,otk,2140195,2138082,2138873,2138818,2138865,2138869,2138368
FBgn0000547,CPTI000616,ed,-,2138083,2138489,2138491,2138490,2138493,2138492
FBgn0004449,CPTI001175,Ten-m,-,2138085,2138874,2138935,2138866,2138870,2138635
FBgn0010316,CPTI001658,dap,2140246,2138088,2137924,2137923,2137925,2137920,2137922
FBgn0020238,CPTI100045,14-3-3epsilon,2140151,2138090,2138509,2138506,2138507,2138365,2138717
FBgn0000721,CPTI000091,for,2140142,2138092,2138896,2138558,2138557,2138559,2138560
FBgn0283521,CPTI000190,lola,2140213,2138094,2138564,2138063,2138565,2138567,2138823
FBgn0266579,CPTI000194,tau,2140228,2138096,2138161,2138159,2138160,2138158,2138157
FBgn0003459,CPTI000263,stwl,-,2138097,2138653,2138540,2138539,2138541,2138542
FBgn0027529,CPTI000298,tapas,2140268,2138098,2138708,2138706,2138699,2138709,2138697
FBgn0001124,CPTI000303,Got1,-,2138099,2140671,2140668,2140682,2140674,2139267
FBgn0021764,CPTI000337,sdk,2140180,2138100,2138330,2138392,2139978,2138331,2137764
FBgn0026533,CPTI000365,Dek,2140167,2138101,2138471,2138473,2138472,2138474,2138475
FBgn0011725,CPTI000371,twin,2140208,2138102,2138614,2138616,2138612,2138618,2138759
FBgn0011817,CPTI003785,nmo,-,2138104,2138830,2138840,2138702,2138792,2138394
FBgn0263037,CPTI003732,CG43332,2140257,2138106,2140679,2140678,2140681,2140680,2139270
FBgn0036449,CPTI000472,bmm,2140162,2138110,2138435,2138437,2138436,2138438,2138439
FBgn0262733,CPTI000567,Src64B,2143393,2138111,2138136,2138135,2138132,2138134,2138133
FBgn0259212,CPTI000590,cno,2140165,2138112,2138460,2138462,2138461,2138463,2138466
FBgn0020443,CPTI000609,Elf,2140173,2138113,2138667,2138680,2138642,2138673,2138855
FBgn0000017,CPTI000658,Abl,2140153,2138114,2138784,2138796,2138789,2138803,2138780
FBgn0286818,CPTI000688,Pdi,2143388,2138115,2138891,2138879,2138883,2138887,2138395
FBgn0010217,CPTI000877,ATPsyn-beta,2143048,2138116,2138441,2138443,2138442,2138444,2138445
FBgn0085451,CPTI000739,htk,2140206,2138118,2138671,2138338,2138822,2138820,2138670
FBgn0265434,CPTI002907,zip,2140290,2138122,2138649,2138648,2138646,2138647,2138645
FBgn0052062,CPTI003100,CG32062,2140276,2138131,2138266,2138264,2138267,2138268,2138265
FBgn0261278,CPTI000640,grp,2140157,2138142,2138315,2138624,2138651,2138802,2138643
FBgn0266098,CPTI003323,rg,2140288,2138143,2138905,2138893,2138897,2138901,2138641
FBgn0259984,CPTI000031,kuz,2140286,2138144,2137980,2137979,2138243,2138130,2137975
FBgn0024238,CPTI003394,Fim,-,2138145,2138692,2138693,2138691,2138748,2138690
FBgn0016797,CPTI003490,fz2,2140274,2138146,2138353,2138669,2138312,2138434,2138478
FBgn0026259,CPTI003501,eIf5B,-,2138154,2138578,2138579,2138577,2138580,2138538
FBgn0015777,CPTI001455,nrv2,2143395,2138155,2138563,2138566,2138562,2138844,2138715
FBgn0003165,CPTI002853,pum,2143394,2138163,2138138,2138140,2138156,2138139,2138137
FBgn0037010,CPTI003911,CG4825,-,2138164,2138718,2138892,2138704,2138900,2138319
FBgn0259143,CPTI003923,CG42258,2140287,2138169,2138356,2138633,2138381,2138561,2138380
FBgn0027356,CPTI002789,Amph,2140254,2138175,2138174,2138173,2138172,2137762,2138170
FBgn0261618,CPTI003605,larp,2140204,2138185,2138700,2138393,2138720,2138617,2138719
FBgn0039348,CPTI002772,CG4673,2140272,2138191,2138406,2138736,2138620,2138619,2139266
FBgn0261988,CPTI002085,Gprk2,2140282,2138196,2138065,2138067,2138068,2138066,2138064
FBgn0284408,CPTI002049,trol,2140207,2138198,2138664,2138644,2138732,2138740,2138389
FBgn0000183,CPTI003522,BicD,2140263,2138200,2138753,2138754,2138755,2138502,2138752
FBgn0036337,CPTI004071,Adenok,2140144,2138201,2138499,2138358,2138500,2138727,2138360
FBgn0000253,CPTI001284,Cam,2140252,2138202,2138945,2138944,2138946,2138943,2138281
FBgn0000261,CPTI002786,Cat,2140262,2138203,2138771,2138772,2138773,2138683,2138769
FBgn0035397,CPTI000836,CG11486,2140266,2138204,2138710,2138829,2138721,2138705,2138698
FBgn0039882,CPTI002646,CG11576,2140164,2138205,2138455,2138457,2138456,2138458,2138459
FBgn0031632,CPTI001993,CG15628,-,2138206,2138107,2138103,2138109,2138108,no data
FBgn0033446,CPTI100012,CG1648,2140251,2138207,2138399,2138397,2138398,2138369,2138367
FBgn0029939,CPTI001740,CG9650,2140140,2138208,2138776,2138452,2138687,2138453,2138454
FBgn0041605,CPTI001473,cpx,2140270,2138209,2138547,2138728,2138650,2138689,2138546
FBgn0035533,CPTI003231,Cip4,2140156,2138210,2138770,2138415,2138414,2138416,2138417
FBgn0261617,CPTI000727,nej,2140197,2138211,2138827,2138836,2138833,2138639,2138842
FBgn0264078,CPTI001427,Flo-2,2140141,2138212,2138588,2138590,2138589,2138591,2138608
FBgn0011592,CPTI001309,fra,2140158,2138213,2137873,2137875,2137877,2137872,2137874
FBgn0001215,CPTI003669,Hrb98DE,2140171,2138214,2138524,2138526,2139961,2138527,2138528
FBgn0031294,CPTI100013,ia2,2140232,2138215,2138055,2138057,2138058,2138056,2138054
FBgn0051363,CPTI003917,Jupiter,2140211,2138216,2138597,2138599,2138598,2138600,2138663
FBgn0040207,CPTI001430,kat80,2140205,2138217,2138678,2138682,2138675,2138684,2138674
FBgn0004456,CPTI001678,Mew,2140154,2138218,2137915,2137911,2137912,2137909,2137910
FBgn0016685,CPTI003532,Nlp,2140190,2138219,2138939,2138128,2138703,2138741,2138384
FBgn0026250,CPTI002562,eIF-1A,2140293,2138220,2138862,2138845,2137905,2138011,2138611
FBgn0264307,CPTI004362,orb2,2140192,2138221,2138921,2138919,2138768,2138141,2137816
FBgn0031990,CPTI100044,PAPLA1,2140217,2138222,2138425,2138426,2138816,2138427,2138428
FBgn0030400,CPTI001659,Pits,2140198,2138223,2138821,2138747,2138858,2138817,2138449
FBgn0000635,CPTI001279,Fas2,-,2138224,2137781,2137783,2137784,2137782,2137780
FBgn0000711,CPTI002264,flw,2140172,2138225,2138552,2138554,2138553,2138555,2138556
FBgn0022382,CPTI001580,Pka-R2,2140223,2138226,2138318,2138936,2138941,2138375,2138328
FBgn0004868,CPTI001693,Gdi,2140160,2138227,2138166,2138167,2138168,2138171,2137814
FBgn0014007,CPTI001880,Ptp69D,2140241,2138228,2137846,2137812,2137800,2137848,2137850
FBgn0028622,CPTI001414,Qsm,-,2138230,2138852,2138853,2138851,2138854,2138628
FBgn0285937,CPTI004394,Rab1,2140218,2138231,2138422,2138424,2138423,2138808,2138809
FBgn0001987,CPTI002805,Gli,2140250,2138232,2138787,2138799,2138793,2138806,2138306
FBgn0001145,CPTI001918,Gs2,2140161,2138234,2137896,2137895,2137894,2137964,no data
FBgn0267376,CPTI001015,SelR,2140240,2138235,2137890,2137891,2137776,2137889,2137879
FBgn0016977,CPTI001595,spen,2140209,2138236,2138610,2138464,2138405,2138407,2138383
FBgn0011224,CPTI002406,heph,2140138,2138237,2137969,2138521,2138520,2138522,2138523
FBgn0003721,CPTI000760,Tm1,2140237,2138238,2137937,2137945,2137967,2137941,2138008
FBgn0015790,CPTI100051,Rab11,2140187,2138239,2138548,2138550,2138549,2137968,2138551
FBgn0015774,CPTI000748,NetB,2140225,2138240,2138314,2138313,2138126,2138307,2138125
FBgn0004167,CPTI001728,kst,2140178,2138242,2138429,2138431,2138430,2138432,2138433
FBgn0041789,CPTI000161,Pax,2140297,2138244,2137823,2138036,2138127,2138059,2138182
FBgn0263930,CPTI001039,dally,2143385,2138261,2137758,2137759,2137757,2137760,2138190
FBgn0004878,CPTI000199,Cas,-,2138269,2137933,2138278,2137934,2138162,2138386
FBgn0263396,CPTI000239,sqd,2140221,2138270,2138371,2138535,2138534,2138536,2138537
FBgn0003041,CPTI000850,pbl,2140227,2138273,2138274,2138275,2138930,2138931,2138277
FBgn0003371,CPTI000023,Sgg,2140291,2139921,2139884,2139896,2139898,2139897,2139899
FBgn0029687,CPTI002292,Vap-33-1,2140591,2140570,2140575,2140574,2140576,2140573,2140572
FBgn0000636,CPTI000833,Fas3,2140590,2140571,2140581,2140578,2140577,2140587,2140580
FBgn0259176,CPTI004166,bun,2140589,2140582,2140584,2140583,2140585,2140579,2140588
FBgn0010415,CPTI002578,sdc,2140226,2142954,2138309,2138308,2138321,2138305,2138320
