Log 2 Ratio RNA Protrusion/Body_1,Log 2 Ratio RNA Protrusion/Body_2,ENSG,Gene name,Protein name,Uniprot
2.98882,2.94846,ENSG00000198786,MT-ND5;NADH5;ND5,NADH-ubiquinone oxidoreductase chain 5,A0S2X6;A0S302;A0S468;A0S481;A0S4F9;A0S556;A0S8I1;A0S8Q9;A0S939;A0S952;A0S9B7;A0SB29;A0SBB9;A0SBH1;A0SBJ7;A0SBN6;A0SBQ0;A1DSD5;A1DSK0;A1DSU1;A1DSV4;A1DSY0;A1DT71;A1DT97;A1DTC3;A1DTD6;A1DTE9;A1DTP0;A1DTY1;A1DV00;A1DVN4;A1DVT6;A1DVU9;A1E1L3;A1Z4G6;A1Z4H9;A1Z4K5;A1Z550;A3FP67;A3R0J2;A3R0K5;A3R0L8;A3R0N1;A3R0P4;A4GYN5;A4ZHZ9;A4ZL36;A4ZL49;A4ZLA1;A4ZLB4;A4ZLC7;A4ZLE0;A4ZLL8;A4ZLT3;A4ZM22;A4ZMH6;A4ZMU3;A4ZMW9;A4ZMY2;A4ZN07;A4ZYN0;A6YTU4;A6YUU5;A6YVZ7;A6YWH7;A6YXC5;A6YZ48;A6YZQ6;A6Z0J2;A6Z1E0;A6Z477;A6Z5B5;A6Z638;A6Z7A3;A6Z7E2;A6Z901;A6Z9T7;A6ZB41;A6ZBM3;A6ZCT8;A6ZE30;A6ZF67;A6ZF93;A6ZFH1;A6ZFM3;A6ZFN6;A6ZFS5;A6ZGF9;A6ZGM1;A6ZGN4;A6ZH52;A6ZH65;A6ZHU1;A6ZHZ3;A7IYY2;A7IZ50;A7LFH4;A7XSF3;A7XT63;A8JL28;A8JL93;A8JMI8;A8JMR6;A8JMW8;A8QTM8;A8RC27;A9UJI6;B0EWF8;B0Z723;B0Z7B4;B1NU71;B1W6B2;B2CB44;B2D322;B2D3J4;B2D400;B2D465;B2D4D0;B2D667;B2D6E5;B2KLX4;B2KM00;B2KMS3;B2MZA0;B2WRG3;B2WRM8;B2XEX5;B2XEY8;B2XFN4;B2XGP4;B2XH11;B2XH24;B2XH89;B2XHU6;B2XIC7;B2XIN1;B2XJ88;B2XJG6;B2XK23;B2XK88;B2XKK5;B2XKN1;B2XKZ8;B2XL11;B2XL89;B2XMC8;B2XNF1;B2XPM8;B2XPU3;B2XQI6;B2XQL2;B2Y9E6;B2YBC2;B2ZHA4;B3GTF2;B3VEC2;B4YCD8;B4YCP0;B4YFW0;B6E908;B7TCV9;B7TNG1;B7U6Z8;B7ZJ75;B8RF22;B8RFQ6;B8RFZ7;B8X540;B8X5N5;B8X5V0;B8X5X6;B8X5Y9;B8XYI9;B8XYL5;B8XYT0;B8XZ47;B8Y0K8;B8YQJ5;B9ED14;B9ED27;B9EEN6;B9EES5;B9EF68;B9EFD3;B9EFL1;B9EFN7;C6JWH2;C7AAY8;C7AB27;C7B2Y6;C7B3F5;C7SJI3;C7SJN5;C7SKZ0;C8XVB1;C8XZF4;C8Y2D1;C8Y4J8;C8Y7R6;C8Y8P1;C8YB23;C8YDE2;C8YDI1;C8YFB8;C8YFD1;C8YGM3;C8YGS5;C9D4X6;C9D515;C9D5A6;C9D603;C9DF68;C9EJ80;D0UTS7;P03915;Q06UC7;Q06UH9;Q06V50;Q0Z7K9;Q0Z7P8;Q0ZF73;Q0ZFC5;Q0ZFK3;Q0ZK24;Q14Z33;Q14ZY3;Q15GW4;Q15GZ0;Q15H42;Q15HE6;Q15HH2;Q15HL1;Q15HM4;Q15ID2;Q15II4;Q1ADK8;Q1ADM1;Q1W0U7;Q1ZY31;Q27H25;Q27H51;Q2HJQ6;Q2HKK5;Q2HKQ7;Q2L743;Q2LH26;Q2LHB7;Q2LHG9;Q2LHU9;Q305W9;Q306C1;Q34773;Q3S9H4;Q4EWD7;Q4EWF0;Q4EXF1;Q4EXM9;Q4EXP2;Q4EXU5;Q4EXW4;Q4EXY9;Q4EY48;Q4EYP3;Q4EZ36;Q4EZP4;Q4EZS0;Q4EZT3;Q4F050;Q4F0F4;Q4F1S2;Q4F200;Q4F2F6;Q4F2K8;Q4F2Y8;Q4F340;Q4F3W3;Q4F454;Q4F4F8;Q4F4X2;Q4F568;Q4F5R3;Q4F5V2;Q4F5W5;Q4F5X8;Q4F604;Q4F656;Q4F669;Q4G9U5;Q4GDK8;Q4GE79;Q4GEN5;Q4GF15;Q4GFX7;Q4GG68;Q4GHG0;Q4GHL2;Q4GI18;Q4GI57;Q4GJ06;Q4GJP0;Q4GL73;Q4GLM9;Q4GMF2;Q4GMK4;Q4GNT3;Q4GQ64;Q4GSD1;Q4GTI4;Q4GUC0;Q4GUE6;Q4GUX8;Q4GVA8;Q4GVS7;Q4GVZ2;Q4GW05;Q4GW31;Q4R1L1;Q4VF92;Q4VFA5;Q4VFC2;Q4VFD3;Q4VFV5;Q4VG75;Q4VG88;Q4ZFF5;Q53X30;Q53ZV6;Q541I1;Q5S8W0;Q5S938;Q5S9S2;Q5S9U8;Q5SAM1;Q5SB14;Q5XRC9;Q5XRG8;Q5XS00;Q5XT79;Q5XTD1;Q5XTE4;Q6PZ35;Q6RMF4;Q6RMK4;Q6RMM5;Q6RNJ0;Q6RNL1;Q6RPF2;Q6RQI4;Q6RRR0;Q6RS00;Q6RS27;Q6VHD5;Q6VI79;Q6VID5;Q6VIF3;Q6VIX6;Q6VIZ4;Q6VKL7;Q6WQ97;Q7GWL6;Q7GWT3;Q7GXT4;Q7GXZ2;Q7Y6H2;Q7Y6Z2;Q7Y7F0;Q7Y823;Q7YCC4;Q7YCD7;Q7YCD9;Q7YCE2;Q7YCE8;Q7YCF6;Q7YCG0;Q7YCG8;Q7YCH1;Q7YED7;Q7YEE0;Q7YEE5;Q7YEE9;Q7YEF0;Q7YEF2;Q7YEF9;Q7YEG3;Q7YEG8;Q85KR4;Q85KS1;Q85KT3;Q85KU7;Q85KV1;Q85KW1;Q85KW4;Q85KX3;Q85KX7;Q85KY3;Q85KZ0;Q85KZ8;Q85L08;Q8HAS6;Q8HG18;Q8HG19;Q8HG20;Q8HG21;Q8HG22;Q8HG23;Q8HG24;Q8HNR2;Q8W8U1;Q8W946;Q8WCW1;Q8WCW2;Q8WCW4;Q8WCW7;Q8WCW9;Q8WCX1;Q8WCX8;Q8WCY3;Q8WCY9;Q9B0V1;Q9B105;Q9B1F8;Q9B1M0;Q9B1R0;Q9B2U1;Q9B2V1;Q9B2V3;Q9B2V4;Q9B2W1;Q9B2X2;Q9B2Y1;Q9B2Y2;Q9B2Y4;Q9B2Z5;Q9B2Z7;Q9B2Z9;Q9B301;Q9B303
2.69732,2.93836,ENSG00000177600,RPLP2,60S acidic ribosomal protein P2,P05387;Q6FG96
2.87718,2.91532,ENSG00000228253,ATP8;ATPase 8;MT-ATP8,ATP synthase protein 8,A0S208;A0S8D6;A0S9D7;A0SBU5;A1DT13;A1DV59;A1DVF0;A3R095;A4ZKZ1;A4ZL69;A4ZLL2;A6YTJ7;A6YXS5;A6YYT8;A6Z2R5;A6Z3V4;A6Z519;A6Z7K1;A8JL09;A8JMT6;B2CB77;B2MXR9;B2MZ68;B2XEL6;B2XII6;B2XIJ9;B2XMG1;B4YC28;B4YCR0;B7TCM5;B7ZJ43;B8X5B2;B9EG24;C5MNC7;C7B306;C8YA16;C8YAC0;C8YFB2;P03928;Q0Z7D7;Q0ZK82;Q305N4;Q34771;Q3S924;Q3S937;Q4EWR0;Q4F0Q1;Q4F196;Q4F675;Q4GAR3;Q4GFJ0;Q4GR32;Q4GUF2;Q4VG42;Q5GND0;Q5S8S7;Q5S8W6;Q5S8Z2;Q5SAB0;Q5SAC3;Q5XTF0;Q6RKZ6;Q6RLG0;Q6RLZ4;Q6RM58;Q6RMN1;Q6RNJ6;Q7GXU0;Q7GY08;Q7YCD6;Q7YCG7;Q7YEE7;Q7YEG9;Q85BD0;Q85KT5;Q85KW5;Q85KZ3;Q8HNQ6;Q8W8E1;Q94P44;Q9B1A3
2.95975,2.88606,ENSG00000145592,Rpl37;RPL37,60S ribosomal protein L37,B2R4H2;P02403;P61927;Q6IBB4;Q99883
2.24053,2.85753,ENSG00000242616,GNG10,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-10,P50151;Q3B7K2;Q4VC27
1.39945,2.83847,ENSG00000197713,LOC729020;RPE,Ribulose-phosphate 3-epimerase,A8K4S0;B4E016;C9IYE8;C9IZU8;C9J6A7;C9J8S0;C9J9T0;C9JCL8;C9JPQ7;O43767;Q2QD12;Q4G1Y9;Q53TV9;Q8N215;Q96AT9;Q96N34;Q9BSB5
2.39419,2.74931,ENSG00000171497,PPID,Peptidyl-prolyl cis-trans isomerase;Peptidyl-prolyl cis-trans isomerase D,B2R9V2;Q05DH6;Q08752;Q6FGM6
2.06542,2.73987,ENSG00000176343,RPL37L,Putative 60S ribosomal protein L37a-like,A6NKH3
2.63277,2.73209,ENSG00000198938,CO3;COIII;COX3;MT-CO3,Cytochrome c oxidase subunit 3,A0SD91;A1DTJ7;A1DTL0;A1DTV1;A1DUU4;A1DV22;A4ZLD6;A4ZLI8;A4ZLS9;A4ZMF9;A4ZMW5;A6YW19;A6YWQ1;A6YX95;A6YZY0;A6Z2T0;A6Z460;A6Z708;A6Z809;A6Z8G5;A6Z8Z7;A6Z9Q7;A6Z9S0;A6ZB50;A6ZBW0;A6ZC77;A6ZDK7;A6ZFQ8;A7LDP6;A7LFE4;A7XTZ1;A8DCI3;A8JLT5;B0EWB5;B0Z6N9;B0Z745;B0Z7E9;B1NVE6;B1W6U0;B1W7S8;B2CB40;B2CB92;B2KLD8;B2WRF9;B2XEK5;B2XEN1;B2XFT2;B2XGB4;B2XMF0;B2XNQ1;B2XNX9;B2YAW2;B2YI97;B2Z5S5;B2Z642;B2ZNN0;B3DE35;B3GSR9;B3VEA5;B3W5K1;B4YBC2;B4YCG0;B4YGV7;B5M8C0;B7TMW4;B8RFL3;B8X4N0;B8XZS7;B9ECT2;B9EE11;B9EEE1;B9EEI0;B9EF90;C4PK82;C4RU97;C4RUE2;C5MM24;C7B321;C7B3W9;C7SJU6;C7SKT4;C8XZH6;C8Y3W0;C8Y5S3;C8YGY6;C9D5W0;D0V1V1;P00414;Q0G899;Q0VXC5;Q0Z7D5;Q0Z7G1;Q0ZFF5;Q14Y83;Q15H46;Q15HG3;Q15II8;Q15IP0;Q19MP4;Q27H55;Q2HJS3;Q2HKH0;Q2HKI3;Q2HKT7;Q305I0;Q305K6;Q305X3;Q3S961;Q4EWP5;Q4EXJ4;Q4EZD1;Q4F0P9;Q4F0T8;Q4F1I5;Q4F2A8;Q4F2U0;Q4G6P4;Q4G6V9;Q4G7C8;Q4G9U9;Q4GBF8;Q4GC16;Q4GFE9;Q4GG20;Q4GI22;Q4GIA0;Q4GIY4;Q4GMA4;Q4GPI4;Q4GPN6;Q4GSY0;Q4GU59;Q4GV60;Q4VFD0;Q4ZEA6;Q4ZED2;Q4ZEF8;Q4ZF68;Q5SAG0;Q5SB31;Q5XSC1;Q5XZH6;Q5XZI2;Q5XZI3;Q5XZI8;Q5XZI9;Q5XZK9;Q5XZL8;Q5XZP7;Q5XZR9;Q5XZT6;Q5XZX9;Q5XZY3;Q5Y011;Q5Y065;Q5Y070;Q5Y078;Q5Y0E5;Q5Y0F3;Q5Y0G2;Q5Y0H4;Q5Y0J7;Q6R0Q1;Q6R0W6;Q6RLY3;Q6RMU0;Q6RPE6;Q6RRW7;Q6VH99;Q6VHA9;Q6VIB9;Q6VIH5;Q6VIM0;Q6VJ16;Q6VK16;Q6VKA3;Q6VLN4;Q6WQA1;Q6WQG6;Q7GIM7;Q7Y664;Q7YCC7;Q7YCE0;Q7YCE5;Q7YCF3;Q7YEF1;Q85KS4;Q85KW0;Q85KW2;Q85KZ1;Q85KZ9;Q85L04;Q85L10;Q8HNQ7;Q8WCY1;Q9B1S4;Q9B1S6;Q9B2U6;Q9B2W9;Q9B2X0
2.84178,2.72804,ENSG00000171858,RPS21,40S ribosomal protein S21,P35265;P63220;Q13666;Q6FGH5;Q8WVC2;Q9BYK1;Q9BYK2
2.84695,2.71409,ENSG00000197958,RPL12,60S ribosomal protein L12,P30050;Q59FI9;Q5VVV2;Q6PB27
2.25324,2.70408,ENSG00000187231,DKFZp434O0515;SESTD1,SEC14 domain and spectrin repeat-containing protein 1,B3KTX3;C9J1K9;C9J4X8;C9JHW6;Q53R38;Q53SP3;Q5GM69;Q7Z6D3;Q86VW0;Q8N6M1;Q96LQ2;Q9UFF8
2.80159,2.69889,ENSG00000116251,RPL22,60S ribosomal protein L22,B2R495;B8Y929;P35268;Q6IBD1;Q7Z4W8;Q8WYP0
1.62472,2.69387,ENSG00000129055,ANAPC13,Anaphase-promoting complex subunit 13,A6NJK6;A8K3Z6;Q9BS18;Q9Y3V0
2.38948,2.68629,ENSG00000165502,RPL36AL,60S ribosomal protein L36a-like,B2R4V2;Q3B7A5;Q969Q0
2.21413,2.6786,ENSG00000115541,EPFP1;HSPE1,"10 kDa heat shock protein, mitochondrial",B8ZZ54;B8ZZL8;O95421;P61604;Q04984;Q53X54;Q9UDH0;Q9UNM1
0.79415,2.64157,ENSG00000213741,Rps29;RPS29,40S ribosomal protein S29,A8MZ73;P30054;P62273
2.32726,2.6286,ENSG00000212907,MT-ND4L;NADH4L;ND4L,NADH-ubiquinone oxidoreductase chain 4;NADH-ubiquinone oxidoreductase chain 4L,A1DSX8;A4ZL21;A4ZN05;A5WZG7;A5X013;A5X245;A6YYB0;A6ZGD1;A6ZH76;A6ZHH6;A7U418;B1W974;B2MXU9;B7TD61;C4PKX4;C7SJB6;C9D5K8;P03901;Q0G884;Q0Z7R0;Q0ZK52;Q4F5V4;Q4GNE2;Q4VFB8;Q6VHT0;Q7GXZ4;Q85KV3;Q85KY5;Q8W7V3;Q9B2Z1
2.68872,2.61827,ENSG00000100380,AAG2;ST13;ST13P4,Hsc70-interacting protein;Putative protein FAM10A4,B1AHN5;B4E0U6;B7ZA40;O14999;P50502;Q0IJ56;Q1XBU6;Q1XBU7;Q2TU77;Q3KNR6;Q8IZP2
2.75817,2.60178,ENSG00000125148,MT2A,Metallothionein;Metallothionein-2,P02795;Q14823;Q2HXR9;Q53XT9;Q8TE66
2.70414,2.58792,ENSG00000108298,RPL19,60S ribosomal protein L19;Ribosomal protein L19,B2R4K2;P14118;P22908;P84098;Q502Y6;Q53G49;Q7Z6E4;Q8IWR8
1.8967,2.57528,ENSG00000177879,AP3S1,AP-3 complex subunit sigma-1,A8MWG0;B2R4I8;O00647;O00676;O00721;O00727;Q53XL4;Q6ICQ2;Q92572
2.52796,2.56676,ENSG00000169429,IL8,IL-8(5-77);IL-8(6-77);IL-8(7-77);IL-8(8-77);IL-8(9-77);Interleukin-8;MDNCF-a,B2R4L8;C9J4T6;P10145;Q6FGF6;Q6LAE6;Q96RG6;Q9C077;Q9UCE1;Q9UCR8;Q9UCR9;Q9UCS0
2.43591,2.56318,ENSG00000143545,RAB13,Ras-related protein Rab-13,A8K6B5;P51153;Q504R6;Q5U0A6;Q6GPG6;Q96GU4
2.55249,2.56225,ENSG00000122034,GTF3A,Transcription factor IIIA,B7ZBK4;B7ZBK5;Q12963;Q13097;Q92664
1.8717,2.5613,ENSG00000126524,SBDS,Ribosome maturation protein SBDS,A8K0P4;Q96FX0;Q9NV53;Q9Y3A5
2.45011,2.54519,ENSG00000127184,COX7C,"Cytochrome c oxidase subunit 7C, mitochondrial",P15954;Q6NR81
2.00751,2.51074,ENSG00000185787,MORF4L1,Mortality factor 4-like protein 1,A5D8W6;B3KTM8;B4DKN6;B7Z6R1;O95899;Q0VAE4;Q5QTS1;Q6NVX8;Q86YT7;Q9HBP6;Q9NSW5;Q9UBU8
2.38735,2.51001,ENSG00000134419,hCG_1994130;Rps15a;RPS15A,40S ribosomal protein S15a,A8K7H3;B2R4W8;P39027;P39031;P62244;Q3MHD9;Q8C023;Q9BV24
1.58427,2.50219,ENSG00000236338,,,Q9H388
-0.407437,2.49311,ENSG00000075303,SLC25A40,Solute carrier family 25 member 40,A8K483;Q53GB1;Q8TBP6;Q9UHR1
3.05447,2.48544,ENSG00000171530,TBCA,Tubulin-specific chaperone A,B4DT30;O75347;Q6FGD7
2.32318,2.47352,ENSG00000121895,TMEM156,Transmembrane protein 156,Q8N614;Q9H5N9
0.47169,2.47136,ENSG00000118363,SPCS2,Signal peptidase complex subunit 2,B4DDB9;Q15005;Q15507;Q3KQT0;Q641R4;Q6FG65;Q6IRX0;Q6P1P4;Q96HU9
2.4942,2.46933,ENSG00000177954,LOC392748;RPS27;RPS27L,40S ribosomal protein S27,A4D1G5;A8MWW4;C9J1C5;P42677;Q5T4L4;Q5T4L6
2.22406,2.45934,ENSG00000089009,RPL6,60S ribosomal protein L6,B2R4K7;B4DNY8;B4DRX3;Q02878;Q2M3Q3;Q8N5Z7;Q8TBK5;Q8WW97;Q9HBB3
0.87152,2.44122,ENSG00000240747,KRBOX1,KRAB domain-containing protein 1,B4DJE8;C9JBD0;C9JGH5;C9JGJ3;C9JQ34
1.96527,2.42913,ENSG00000115919,KYNU,Kynureninase,A8K4D5;A8K7T0;B2RCZ5;B8ZZA3;Q16719;Q53F63;Q53SX6;Q53SY0;Q6I9T2;Q9BVW3
2.82711,2.42753,ENSG00000171863,RPS7,40S ribosomal protein S7,B5MCP9;P23821;P24818;P62081;Q57Z92;Q6IPH1
2.49834,2.42058,ENSG00000198712,COII;COX2;MT-CO2,Cytochrome c oxidase subunit 2,A0S0W7;A0S2P1;A0S3D8;A0S3T1;A0SA07;A1Z455;A1Z4V2;A4ZKZ0;A6YW54;A6YWD1;A6YXV0;A6Z3M5;A6Z6E8;A6ZEU4;A6ZF47;A6ZFK3;A6ZHA9;A7LDC6;A7LF11;A7LFA2;B0Z6W4;B1W855;B2CB37;B2WRY8;B2XHF9;B2XHT9;B2XIR3;B2XL43;B2XP28;B2XPS3;B2YKU2;B3DE06;B3GR49;B3GUF3;B5M7M0;C5H6K5;C5H6K6;C5H6K7;C5H6L3;C5H6M3;C5H6M4;C5H6M5;C5H6M7;C5H6M8;C8XWJ6;C8Y3G4;C8Y3Q5;C8YBL1;C9D661;P00403;Q06TE6;Q09U41;Q0Z7D8;Q0Z7F1;Q0Z7J0;Q0Z7K3;Q0Z7S0;Q14XI3;Q14XT3;Q15HH9;Q19MP7;Q2QDD3;Q305H0;Q37526;Q4EYL1;Q4EZD4;Q4F4V6;Q4F6A2;Q4GCC3;Q4GCG2;Q4GCZ4;Q4GHE1;Q4GQP0;Q4GVP5;Q4GW12;Q4R1L3;Q4R1L5;Q5S971;Q5SA98;Q5SAP1;Q5SB08;Q5XRW8;Q6R0V6;Q6RKW8;Q6RNN7;Q6RQ80;Q6VIG7;Q6VJD8;Q6VJJ3;Q7GXZ8;Q7Y626;Q7Y6M3;Q7Y6N0;Q7YCE6;Q7YEH2;Q85KR6;Q85KS0;Q85KS5;Q85KS8;Q85KT6;Q85KV5;Q85KW8;Q85KX8;Q85L00;Q86WE9;Q8HNR1;Q8HNR6;Q8HQB7;Q8WCW3;Q9B138;Q9B1F9;Q9B2U8
2.53143,2.41119,ENSG00000188873,,,A6NGN7
2.3254,2.39528,ENSG00000198886,MT-ND4;NADH4;ND4,NADH-ubiquinone oxidoreductase chain 4,A0S2M1;A0S2T6;A0SA68;A1DTS8;A1DU19;A1DUY6;A1DV51;A1Z4C6;A3R0J1;A4ZKZ6;A4ZL22;A4ZL74;A4ZLA0;A4ZLD9;A4ZLL7;A4ZLX0;A4ZMK1;A4ZML4;A4ZMM7;A4ZMU2;A4ZYF1;A6YWL5;A6Z2B4;A6Z4U7;A6ZBX6;A6ZER1;A6ZF01;A6ZGQ9;A6ZHA3;A6ZHM6;A6ZHN9;A8JMA7;A8JMY0;B0Z774;B1NU70;B1NUQ2;B1NUU1;B1W861;B1W8J1;B2CB43;B2D3T4;B2D666;B2KLY6;B2XEX4;B2XG13;B2XHT2;B2XIK4;B2XIN0;B2XJG5;B2XLC7;B2XLK5;B2XQ96;B2XQV2;B2Y8X6;B2Y993;B2YA81;B3GRN7;B3GUI8;B4YBV5;B4YGU7;B5M7S8;B6ULE4;B8X5N4;B9ECT5;B9ECU8;B9EDE3;B9EDF6;B9EDU9;B9EDW2;B9EED1;B9EEM2;B9EES4;C7B389;C7SJJ5;C7SJN4;C7SMD4;C8Y200;C8Y7K0;C8Y972;C8YCK5;C8YCP4;C8YD76;C8YIQ0;C9D583;C9D5R1;C9D5S4;P03905;Q06T62;Q0ZJZ9;Q0ZK38;Q14YI3;Q14YT3;Q14Z34;Q15HM5;Q1W0W1;Q1ZY32;Q20CX0;Q2L718;Q2LHB8;Q2LHT7;Q2LHW3;Q305G4;Q305J0;Q305M9;Q305P2;Q4EWT1;Q4F0G8;Q4F0N3;Q4F2K9;Q4F6A9;Q4G822;Q4G8Y4;Q4GE93;Q4GG69;Q4GGG0;Q4GI32;Q4GI58;Q4GJM8;Q4GJP1;Q4GQ65;Q4GQY8;Q4GR66;Q4R1L2;Q53X31;Q541L8;Q5S8X4;Q5SAV0;Q5XRD0;Q5XTH1;Q6RL39;Q6RQN9;Q6VHV8;Q6VI80;Q6VL53;Q6VLU5;Q6WQ46;Q7GSH8;Q7GXZ3;Q7Y7B0;Q7Y7S0;Q7Y891;Q7YCC8;Q7YCD8;Q7YCF7;Q7YEE1;Q85KV2;Q85KX4;Q85KY1;Q85KY4;Q85L09;Q8HB66;Q8HCA7;Q8HG25;Q8HNR0;Q8HNR8;Q8W8T1;Q8WCY0;Q8WCZ0;Q9B0T8;Q9B188;Q9B1S7;Q9B2W2;Q9B2W5;Q9B2X6;Q9B2X8;Q9B2Y5;Q9B2Y7;Q9B300;Q9T9Y1
2.00658,2.39019,ENSG00000153823,FLJ20701;PID1,"PTB-containing, cubilin and LRP1-interacting protein",B3KU82;Q4ZG81;Q68CJ2;Q6ZUS3;Q7Z2X4;Q8IXL0;Q9NWP6
2.43432,2.37985,ENSG00000136942,LOC154880;RPL35,60S ribosomal protein L35,A4D2M5;A8K4V7;P42766;Q4VBY5;Q5JTN5;Q6IBC7;Q96QJ7;Q9BYF4
2.15671,2.37671,ENSG00000233404,FLJ20373,,Q53TX7;Q9NX89
2.33054,2.37663,ENSG00000235552,,,Q7Z5Z2
2.3319,2.37521,ENSG00000148671,APM2;RP11-96C23.4,Adipogenesis regulatory factor,Q15847;Q5TBU2;Q5TBU5
2.37659,2.36304,ENSG00000197728,RP11-151A6.3-001;RPS26,40S ribosomal protein S26,P02383;P62854;P70394;Q06722;Q3MHD8;Q5JVH5;Q6IRY4;Q75MH1;Q76N56;Q76N57
1.24774,2.3547,ENSG00000071082,RPL31,60S ribosomal protein L31,B2R4C1;B7Z4C8;B7Z4E3;B7Z4K2;B8ZZK4;C9JU56;P12947;P62899;Q53SQ5;Q6IRZ0;Q6LBJ6;Q76N53
2.11655,2.35015,ENSG00000143977,SNRPG,Small nuclear ribonucleoprotein G;Small nuclear ribonucleoprotein G-like protein,A8MWD9;C9J303;C9JHM2;C9JVQ0;P62308;Q15357;Q49AN9;Q6IB86
1.99022,2.33391,ENSG00000173915,USMG5,Up-regulated during skeletal muscle growth protein 5,B2R4N2;Q96IX5
2.30392,2.32831,ENSG00000131171,SH3BGRL,SH3 domain-binding glutamic acid-rich-like protein,B0AZV6;O75368;Q3SYL1;Q5JT50;Q6FIE8;Q9H0N8
1.11598,2.32303,ENSG00000164751,PEX2;PXMP3,Peroxisome biogenesis factor 2,B2R7I6;P28328;Q567S6;Q6GU86;Q9BW41
1.65442,2.3221,ENSG00000153201,RANBP2,E3 SUMO-protein ligase RanBP2;Putative peptidyl-prolyl cis-trans isomerase,C9JRL5;P49792;Q13073;Q13074;Q15280;Q53TE2;Q59FH7;Q5JC45;Q5JC46
1.94504,2.31939,ENSG00000185088,RPS27L,40S ribosomal protein S27;40S ribosomal protein S27-like,C9J1C5;C9JLI6;Q71UM5;Q9BTJ1
1.99721,2.30815,ENSG00000198840,AD 1;MT-ND3;NADH3;ND3,NADH-ubiquinone oxidoreductase chain 3,A4GWW4;A4ZN04;A4ZYK1;A5WZG6;A5WZG8;A5WZL4;A5WZL6;A5X014;A5X0Q2;A5X0Y8;A5X1A4;A6YXV4;A6Z8G6;A6ZGZ8;A9LYR7;B1NVH3;B1W6Z3;B2XLB2;B2XPV3;B2XQE7;B7TCU3;B7TCW9;B8XZE8;B9ECT3;B9ECU6;B9ED50;B9EE38;C3W5L7;C7SJX3;C8XZ47;C8Y8R4;C8YGF5;C9D525;O21102;P03897;Q27H02;Q2HK90;Q4EWX2;Q4F2M4;Q4F4E8;Q4F698;Q4VFA1;Q58F37;Q6VH98;Q6VHF8;Q6VHJ8;Q6VK65;Q7GXZ5;Q7YCC6;Q7YCD3;Q7YCF1;Q7YEF4;Q85KS3;Q85KT9;Q8HG26;Q8HG27;Q8HG28;Q8WCW0;Q8WCY4;Q9B0N1;Q9B0N2;Q9B2V9;Q9T9Y2;Q9TGM1
1.99666,2.29985,ENSG00000182899,RPL35A,60S ribosomal protein L35a,C9K025;P18077;Q08ES9;Q9BVN7
0.93783,2.29632,ENSG00000160124,CCDC58,Coiled-coil domain-containing protein 58,C9JBU9;C9JQ41;Q32LY6;Q4VC31
2.11308,2.29569,ENSG00000108691,CCL2;MCP1,C-C motif chemokine 2,B2R4V3;P13500;Q6UZ82;Q9UDF3
2.02247,2.29332,ENSG00000153179,RASSF3,Ras association domain-containing protein 3,Q496A9;Q86WH1;Q86WH2
