gene_id,gene_symbol,description
ENSMUSG00000028416,Bag1,BCL2-associated athanogene 1 [Source:MGI Symbol;Acc:MGI:108047]
ENSMUSG00000028639,Ybx1,Y box protein 1 [Source:MGI Symbol;Acc:MGI:99146]
ENSMUSG00000028756,Pink1,PTEN induced putative kinase 1 [Source:MGI Symbol;Acc:MGI:1916193]
ENSMUSG00000028772,Zcchc17,"zinc finger, CCHC domain containing 17 [Source:MGI Symbol;Acc:MGI:1919955]"
ENSMUSG00000028821,Syf2,"SYF2 homolog, RNA splicing factor (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1915842]"
ENSMUSG00000029062,Cdk11b,cyclin-dependent kinase 11B [Source:MGI Symbol;Acc:MGI:88353]
ENSMUSG00000029622,Arpc1b,"actin related protein 2/3 complex, subunit 1B [Source:MGI Symbol;Acc:MGI:1343142]"
ENSMUSG00000029761,Cald1,caldesmon 1 [Source:MGI Symbol;Acc:MGI:88250]
ENSMUSG00000029781,Fkbp9,FK506 binding protein 9 [Source:MGI Symbol;Acc:MGI:1350921]
ENSMUSG00000030102,Itpr1,"inositol 1,4,5-trisphosphate receptor 1 [Source:MGI Symbol;Acc:MGI:96623]"
ENSMUSG00000031029,Eif3f,"eukaryotic translation initiation factor 3, subunit F [Source:MGI Symbol;Acc:MGI:1913335]"
ENSMUSG00000031207,Msn,moesin [Source:MGI Symbol;Acc:MGI:97167]
ENSMUSG00000031245,Hmgn5,high-mobility group nucleosome binding domain 5 [Source:MGI Symbol;Acc:MGI:1355295]
ENSMUSG00000031818,Cox4i1,cytochrome c oxidase subunit 4I1 [Source:MGI Symbol;Acc:MGI:88473]
ENSMUSG00000032060,Cryab,"crystallin, alpha B [Source:MGI Symbol;Acc:MGI:88516]"
ENSMUSG00000032194,Kank2,KN motif and ankyrin repeat domains 2 [Source:MGI Symbol;Acc:MGI:2384568]
ENSMUSG00000032399,Rpl4,ribosomal protein L4 [Source:MGI Symbol;Acc:MGI:1915141]
ENSMUSG00000032518,Rpsa,ribosomal protein SA [Source:MGI Symbol;Acc:MGI:105381]
ENSMUSG00000033577,Myo6,myosin VI [Source:MGI Symbol;Acc:MGI:104785]
ENSMUSG00000034485,Uaca,uveal autoantigen with coiled-coil domains and ankyrin repeats [Source:MGI Symbol;Acc:MGI:1919815]
ENSMUSG00000035478,Mbd3,methyl-CpG binding domain protein 3 [Source:MGI Symbol;Acc:MGI:1333812]
ENSMUSG00000035901,Dennd5a,DENN/MADD domain containing 5A [Source:MGI Symbol;Acc:MGI:1201681]
ENSMUSG00000036197,Gxylt1,glucoside xylosyltransferase 1 [Source:MGI Symbol;Acc:MGI:2684933]
ENSMUSG00000036644,Tbc1d9b,"TBC1 domain family, member 9B [Source:MGI Symbol;Acc:MGI:1924045]"
ENSMUSG00000036751,Cox6b1,"cytochrome c oxidase, subunit 6B1 [Source:MGI Symbol;Acc:MGI:107460]"
ENSMUSG00000038375,Trp53inp2,transformation related protein 53 inducible nuclear protein 2 [Source:MGI Symbol;Acc:MGI:1915978]
ENSMUSG00000038388,Mpp6,"membrane protein, palmitoylated 6 (MAGUK p55 subfamily member 6) [Source:MGI Symbol;Acc:MGI:1927340]"
ENSMUSG00000038398,Upf3a,UPF3 regulator of nonsense transcripts homolog A (yeast) [Source:MGI Symbol;Acc:MGI:1914281]
ENSMUSG00000038539,Atf5,activating transcription factor 5 [Source:MGI Symbol;Acc:MGI:2141857]
ENSMUSG00000038587,Akap12,A kinase (PRKA) anchor protein (gravin) 12 [Source:MGI Symbol;Acc:MGI:1932576]
ENSMUSG00000038708,Golga4,"golgi autoantigen, golgin subfamily a, 4 [Source:MGI Symbol;Acc:MGI:1859646]"
ENSMUSG00000039001,Rps21,ribosomal protein S21 [Source:MGI Symbol;Acc:MGI:1913731]
ENSMUSG00000041219,Arhgap11a,Rho GTPase activating protein 11A [Source:MGI Symbol;Acc:MGI:2444300]
ENSMUSG00000042156,Dzip1,DAZ interacting protein 1 [Source:MGI Symbol;Acc:MGI:1914311]
ENSMUSG00000042331,Specc1,sperm antigen with calponin homology and coiled-coil domains 1 [Source:MGI Symbol;Acc:MGI:2442356]
ENSMUSG00000042613,Pbxip1,pre B cell leukemia transcription factor interacting protein 1 [Source:MGI Symbol;Acc:MGI:2441670]
ENSMUSG00000043733,Ptpn11,"protein tyrosine phosphatase, non-receptor type 11 [Source:MGI Symbol;Acc:MGI:99511]"
ENSMUSG00000043987,Cep164,centrosomal protein 164 [Source:MGI Symbol;Acc:MGI:2384878]
ENSMUSG00000044080,S100a1,S100 calcium binding protein A1 [Source:MGI Symbol;Acc:MGI:1338917]
ENSMUSG00000045962,Wnk1,WNK lysine deficient protein kinase 1 [Source:MGI Symbol;Acc:MGI:2442092]
ENSMUSG00000047721,Bola2,bolA-like 2 (E. coli) [Source:MGI Symbol;Acc:MGI:1913412]
ENSMUSG00000049327,Kmt5a,lysine methyltransferase 5A [Source:MGI Symbol;Acc:MGI:1915206]
ENSMUSG00000053110,Yap1,yes-associated protein 1 [Source:MGI Symbol;Acc:MGI:103262]
ENSMUSG00000053617,Sh3pxd2a,SH3 and PX domains 2A [Source:MGI Symbol;Acc:MGI:1298393]
ENSMUSG00000054452,Aes,amino-terminal enhancer of split [Source:MGI Symbol;Acc:MGI:95806]
ENSMUSG00000055538,Zcchc24,"zinc finger, CCHC domain containing 24 [Source:MGI Symbol;Acc:MGI:1919168]"
ENSMUSG00000060036,Rpl3,ribosomal protein L3 [Source:MGI Symbol;Acc:MGI:1351605]
ENSMUSG00000060126,Tpt1,"tumor protein, translationally-controlled 1 [Source:MGI Symbol;Acc:MGI:104890]"
ENSMUSG00000061787,Rps17,ribosomal protein S17 [Source:MGI Symbol;Acc:MGI:1309526]
ENSMUSG00000061983,Rps12,ribosomal protein S12 [Source:MGI Symbol;Acc:MGI:98105]
ENSMUSG00000063015,Ccni,cyclin I [Source:MGI Symbol;Acc:MGI:1341077]
ENSMUSG00000066406,Akap13,A kinase (PRKA) anchor protein 13 [Source:MGI Symbol;Acc:MGI:2676556]
ENSMUSG00000067873,Htatsf1,HIV TAT specific factor 1 [Source:MGI Symbol;Acc:MGI:1919709]
ENSMUSG00000068267,Cenpb,centromere protein B [Source:MGI Symbol;Acc:MGI:88376]
ENSMUSG00000069833,Ahnak,AHNAK nucleoprotein (desmoyokin) [Source:MGI Symbol;Acc:MGI:1316648]
ENSMUSG00000070348,Ccnd1,cyclin D1 [Source:MGI Symbol;Acc:MGI:88313]
ENSMUSG00000071415,Rpl23,ribosomal protein L23 [Source:MGI Symbol;Acc:MGI:1929455]
ENSMUSG00000071644,Eef1g,eukaryotic translation elongation factor 1 gamma [Source:MGI Symbol;Acc:MGI:1914410]
ENSMUSG00000071655,Ubxn1,UBX domain protein 1 [Source:MGI Symbol;Acc:MGI:1289301]
ENSMUSG00000073616,Cops9,COP9 signalosome subunit 9 [Source:MGI Symbol;Acc:MGI:1914165]
